Exercise,Utility,Mechanics,Force,Instructions,Muscle
lever alternating leg extension,auxiliary,isolated,push,"Sit on apparatus with back against padded back support. Place front of lower legs under padded lever. Position knee articulation at same axis as lever fulcrum. Grasp handles to sides for support.
move lever forward and upward by extending one knee until leg is straight. lower to original position. repeat with opposite leg. continue to alternate between sides.",quadriceps
lever alternating lying leg press,basic or auxiliary,compound,push,"Lie on machine with shoulder under pads. Place feet on individual lever platforms. Grasp handles to sides. Push both lever platforms away by extending knees and hips so knees are straight.
lower one lever platform toward body by bending knee and hip until weight taps or nearly taps unused portion of weight stack. push lever platform away by extending knee and hip. repeat with opposite leg. continue by alternating between sides.",quadriceps
lever seated leg press,basic,compound,push,"Sit on machine with back on padded support. Place feet on platform. Grasp handles to sides.
push platform away by extending knees and hips. return and repeat.",quadriceps
lever split v-squat,auxiliary,compound,push,"Position shoulders under shoulder pads with back against back pad. Place feet on platform, shoulder or hip width apart, slightly back. Squeeze hand lever. Keeping hand lever squeezed, squat down by bending hips and knees until knees or hips are just short of complete flexion. Release hand lever and raise up on sled just slightly until weight stack is engaged (click is heard). Raise sled by extending knees and hips until legs are straight. Place one leg back behind platform with toes pointed downward over floor.
squat down with knee pointed same direction as foot. allow leg to bend behind with forefoot on floor. descend until forward hip is near complete flexion. raise sled by extending knee and hip until leg is straight. repeat. continue with opposite leg.",quadriceps
lever single leg split v-squat,auxiliary,compound,push,"Position shoulders under shoulder pads with back against back pad. Place one foot slightly forward on platform. Place other foot against rear vertical platform. Squeeze hand lever. Keeping hand lever squeezed, squat down by bending hips and knees until hip or knee is short of complete flexion. Release hand lever and raise up on sled, just slightly until weight stack is engaged (click is heard).
raise lever by extending knees and hips. lower lever by flexing hips and knees until knee of rear leg is almost in contact with floor. repeat. continue with opposite leg positions.",quadriceps
sled 45° leg press,basic,compound,push,"Sit on machine with back on padded support. Place feet on platform. Extend hips and knees. Release dock lever and grasp handles to sides.
lower sled by flexing hips and knees until knees are just short of complete flexion. return by extending knees and hips. repeat.",quadriceps
sled hack press (plate loaded),basic or auxiliary,compound,push,"Sit on sled with back of hips against back pad. Place feet on platform shoulder width or slightly wider. Extend hips and knees. Release dock lever(s).
lower sled by flexing hips and knees until either is near complete flexion. raise sled by extending knees and hips. repeat.",quadriceps
sled lying leg press,basic,compound,push,"Lie supine on sled with shoulders against pad. Place feet on platform.
extend hips and knees. flex hips and knees to descend until knees are just short of complete flexion. repeat.",quadriceps
sled seated leg press,basic,compound,push,"Sit on machine with back on padded support. Place feet on platform. Grasp handles to sides.
push platform away by extending knees and hips. return until hips are completely flexed. repeat.",quadriceps
sled vertical leg press,basic,compound,push,"Lie on declined back pad with hips under weighted sled. Place feet on platform. Raise weight by extending hips and knees. Release dock levers and grasp handles to sides.
lower sled by flexing hips and knees until knees are just short of complete flexion or just before hips raise up from pad. return by extending knees and hips. repeat.",quadriceps
sled hack squat,basic or auxiliary,compound,push,"Lie supine on back pad with shoulders under shoulder pad. Place feet on platform slightly higher than base of sled. Extend hips and knees. Release dock levers.
to lower sled, bend hips and knees until knees are just short of complete flexion. raise sled by extending knees and hips. repeat.",quadriceps
smith split squat,auxiliary,compound,push,"With bar upper chest height, position bar on back of shoulders and grasp bar to sides. Place one foot forward slightly and forefoot of other leg further back. Disengage bar by rotating bar back.
lower body on other leg by flexing knees and hips of both legs until knee of rear leg is almost in contact with floor. return to original straddled position by extending hips and knees of both legs. repeat. continue with opposite leg.",quadriceps
smith single leg squat,auxiliary,compound,push,"With bar upper chest height, position bar on back of shoulders and grasp bar to sides. Place feet slightly forward and cross lower leg above knee of supporting leg. Disengage bar by rotating bar back.
bend knees forward slightly while allowing hips to bend, keeping back straight and knees pointed same direction as feet. descend until thigh of supporting leg is just past parallel to floor. extend knee and hip until leg is straight. return and repeat. continue with opposite leg.",quadriceps
smith front squat,auxiliary,compound,push,"With bar upper chest height, grasp bar with overhand shoulder width grip. Position bar on front of shoulders with elbows forward and wrists hyperextended. Place feet under bar. Disengage bar by rotating bar back.
squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet.


descend until thighs are just past parallel to floor. extend knees and hips until legs are straight. return and repeat.",quadriceps
smith hack squat,auxiliary,compound,push,"Stand with back of thighs or glutes against bar. Grasp bar from behind with overhand grip. Disengage bar by rotating bar back.
squat down by bending knees forward slightly while allowing hips to bend back behind, keeping back straight and knees pointed same direction as feet. descend until thighs are too close to parallel to floor and bar is behind lower leg. lift bar by extending hips and knees to full extension. repeat.",quadriceps
weighted sissy squat (on apparatus),auxiliary,isolated,push,"Place feet under lower padded bar with calves against upper pads. Secure weight plate high on chest with both arms.
allow body to fall backwards by bending knees. during descent, gradually bend hips, yet keep chest high and don't allow torso to angle forward. lower body until back of thigh is against upper pad. rise to original position by extending knees and hips while keeping shoulders behind hips. repeat.",quadriceps
single leg box squat,basic or auxiliary,compound,push,"Stand facing away from adjustable height bench or box positioned just behind legs. Extended arms out in front of body. Balance on one leg with opposite leg extended straight leg forward as high as possible.squat down while keeping leg elevated off of floor. keep back straight and supporting knee pointed same direction as foot supporting. once buttock makes contact with bench or box, raise body back up to original position until knee and hip of supporting leg is straight. repeat and continue with opposite leg.",quadriceps
single leg squat (with leg back),basic or auxiliary,compound,push,"Stand with arms extended out in front. Balance on one leg and bend raised leg back at knee.
squat down as far as possible while keeping raised leg from contacting floor as far down as possible. keep back straight and supporting knee pointed same direction as foot supporting. in lowest position, gently place elevated lower leg on floor. raise body back up with minimal assistance from raised leg on floor. stand to original position until knee and hip of supporting leg are straight. return and repeat. continue with opposite leg.",quadriceps
single leg reclining squat (bar),basic or auxiliary,compound,push,"Stand behind horizontal bar, lower chest to upper waist height. Grasp bar with both hands. Place feet slightly forward and lean back with arms straight. Balance on one leg with opposite leg extended straight leg forward as high as possible.
while reclining back, squat down as far as possible while keeping leg elevated off of floor. keep


back straight and supporting knee pointed same direction as supporting foot. raise body back up to original position until knee and hip of supporting leg is straight. repeat and continue with opposite leg.",quadriceps
sissy squat (on apparatus),auxiliary,isolated,push,"Place feet under lower padded bar with calves against upper pads. Cross arms and touch shoulders or place arms out straight in front of shoulders.
allow body to fall backwards by bending knees. during descent, gradually bend hips, yet keep chest high and don't allow torso to angle forward. lower body until back of thigh is against upper pad. rise to original position by extending knees and hips while keeping shoulders behind hips. repeat.",quadriceps
single leg split squat,basic or auxiliary,compound,push,"Stand facing away from bench. Extend leg back and place top of foot on bench.
squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. return to original standing position by extending hip and knee of forward leg and repeat. continue with opposite leg.",quadriceps
lateral step-up,auxiliary,compound,push,"Stand between two benches, one to each side.
lift leg and place foot on bench to side slightly forward of straight knee. stand on bench by straightening leg and pushing body upward. step down returning feet to original position. repeat with opposite leg alternating between legs.",quadriceps
step-down,basic or auxiliary,compound,push,"Stand with one foot on bench or elevated surface. Position foot on elevated surface to side, slightly forward of straight knee.
stand on elevated surface by straightening leg and pushing body upward. step down returning foot off of elevated surface to floor and repeat. continue with opposite position.",quadriceps
self-assisted single leg reclining squat (pole),basic or auxiliary,compound,push,"Stand with feet behind vertical pole. Grasp pole with both hands, waist to hip height. Balance on one leg with opposite leg raised up off of floor to side of pole.
squat down while keeping leg elevated off of floor. with arms slightly flexed, lean back slightly while only allowing knee to travel forward slightly. keep back straight and supporting knee pointed same direction as supporting foot. descend to lowest position. raise body back up to original position while keeping knee behind bar and arms slightly flexed until knee and hip of supporting leg is straight. repeat and continue with opposite leg.",quadriceps
suspended single leg split squat (self-assisted),basic or auxiliary,compound,push,"Grasp one or both suspension trainer handle(s) in lower position hanging. Stand facing nearby


fixed support and hold with one hand for balance. With other hand, secure foot in loop(s) from behind while balancing on one leg. With both hands, hold lightly on fixed support for balance and minimal assistance if needed.
squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. return to original standing position by extending hip and knee of supporting leg. repeat and continue with opposite leg.",quadriceps
barbell back raise (on hyperextension apparatus),auxiliary,isolated,pull,"Stand in hyper-extension apparatus. Position thighs prone on large pad and lower leg under padded bar. Place barbell on back of shoulders and grasp bar to sides.
lower body by bending hips until fully flexed. raise, or extend hips until torso is parallel to legs. repeat.",hamstrings
barbell 45° back raise (on hyperextension apparatus),auxiliary,isolated,pull,"Position thighs prone on upper padding of 45-degree hyper-extension apparatus. Hook heels on platform lip or under padded brace. Place barbell on back of shoulders and grasp bar to sides.
lower body by bending hips until fully flexed. raise or extend hips until torso is parallel to legs. repeat.",hamstrings
barbell straight-back straight-leg deadlift,basic or auxiliary,isolated,pull,"Grasp barbell from rack or deadlift from floor with shoulder width or slightly wider overhand or mixed grip. Stand with shoulder width or narrower stance.
with knees and back straight, lower bar by bending hips until hamstrings are tight, or just before lower back bends. lift bar by extending hips until upright. pull shoulders slightly back at top of lift if rounded. repeat.",hamstrings
trap bar straight-back straight-leg deadlift,basic or auxiliary,isolated,pull,"Stand with feet shoulder width or narrower in trap bar, weight to each side. Squat down with feet flat and grasp handles to sides. Deadlift from floor.
with knees and back straight, lower bar by bending hips until hamstrings are tight, or just before lower back bends. lift bar by extending hips until upright. pull shoulders slightly back at top of lift if rounded. repeat.",hamstrings
cable straight-back straight-leg deadlift,basic or auxiliary,isolated,pull,"Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.
with knees and back straight, bow forward by bending hips until hamstrings are tight, or just before lower back bends. raise body upright by extending hips until standing. pull shoulders back slightly at top of lift if rounded. repeat.",hamstrings
dumbbell straight-back straight-leg deadlift,basic or auxiliary,isolated,pull,"Stand with shoulder width or narrower stance. Grasp dumbbells to each side.
with knees straight, lower dumbbells by bending hips until hamstrings are tight, or just before lower back bends. lift dumbbells by extending hips until straight. pull shoulders back slightly at top of lift if rounded. repeat.",hamstrings
lever alternating lying leg curl (plate loaded),auxiliary,isolated,pull,"Facing bench, stand between bench and lever pads. Lie prone on bench with knees just beyond edge of bench and lower legs under lever pads. Grasp handles.
raise one lever pad to back of thigh by flexing knee. lower lever pad until knee is straight. raise and lower other leg pad. continue by alternating legs.",hamstrings
"lever lying leg curl (on reverse hyper-extension machine, plate loaded)",basic,isolated,pull,"Place lower legs between pads with feet on bar. Lay torso and waist on bench and grasp handles.
raise lever back and up by flexing knees. lower lever until knees are straight. repeat.",hamstrings
lever single leg seated leg curl (plate loaded),basic or auxiliary,isolated,pull,"Sit on seat with back against padded back support. Push hand lever to lower leg pads. Place one leg in between pads. Place other leg on top of upper most pad bar. Release hand lever gradually. Grasp handles to sides with each hand.
pull padded lever to back of thighs as far as possible by flexing knee. return padded lever until knee is straight. change legs and repeat for opposite leg.",hamstrings
lever straight-back straight-leg deadlift (plate loaded),basic or auxiliary,isolated,pull,"Stand between lever handles with shoulder width or narrower stance. Squat down and grasp handles to each side. Stand upright with arms straight down to sides.
with knees and back straight, bow forward by bending hips until hamstrings are tight, or just before lower back bends. raise body upright by extending hips until standing. pull shoulders back slightly at top of lift if rounded. repeat.",hamstrings
lever alternating bent-over leg curl,basic or auxiliary,isolated,pull,"Stand in machine with lower pads behind lower legs, upper pads in front of thighs, and lever fulcrum between knees. Bend over, placing forearms on pads, and grasp handles.
raise left foot slightly off of floor or platform. raise lever up with left leg, bending knee as high as possible. return lever until knee is straight. shift body weight to left foot and raise right foot slightly off of floor or platform. raise lever up with right leg, bending knee as high as possible. continue alternating movement between legs.",hamstrings
lever alternating lying leg curl,basic or auxiliary,isolated,pull,"Facing bench, stand between bench and lever pads. Lie prone on bench with knees just beyond edge of bench and lower legs under lever pads. Grasp handles.
raise lever pad to back of thighs by flexing one knee. lower lever pads until knee is straight and repeat with opposite leg. continue to alternate between sides.",hamstrings
lever alternating standing leg curl,basic or auxiliary,isolated,pull,"Stand in machine with lower pads behind lower legs, upper pads in front of thighs, and lever fulcrum between knees. Bend over and grasp handles for support if available.
raise left foot slightly off of floor or platform. raise lever up with left leg, bending knee as high as possible. return lever until knee is straight. shift body weight to left foot and raise right foot slightly off of floor or platform. raise lever up with right leg, bending knee as high as possible. continue alternating movement between legs.",hamstrings
lever standing leg curl (on leg extension),basic or auxiliary,isolated,pull,"Place platform to one side of padded lever. Have additional padded board in hand. Facing machine, stand to one side of padded roller. Place far leg on elevated platform. Position closest leg into apparatus by placing back of lower leg against lever roller. Place extra padded board between knee and edge of seat. Position knee forward securely against padded board and edge of seat. Bend over seat by bending hips and support torso with arms.pull lever to back of thigh by flexing knee. return lever until knee is straight. repeat. continue with opposite leg.",hamstrings
lever standing leg curl (on multi-hip machine),basic or auxiliary,isolated,pull,"Adjust platform to highest position or lever fulcrum to lowest position so fulcrum is at height of knee. If necessary, place extra elevation near end of platform to stand on, so knee is aligned with fulcrum. Adjust padded roller approximately 45° downward. Step on extra elevation facing padded roller. Place leg closest to lever over roller. Bend over at hips and grasp bar. Slightly extend hip to lower roller so knee maintains alignment with fulcrum.pull padded roller to glutes by flexing knee. lower padded roller until knee is straight. repeat. reposition roller pad lever and continue with opposite leg.",hamstrings
smith straight-back straight-leg deadlift,basic or auxiliary,isolated,pull,"Stand with shoulder width or narrower stance with thigh against bar. Grasp bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.
with knees and back straight, lower bar by bending hips until hamstrings are tight, or just before lower back bends. lift bar by extending hips until straight. pull shoulders back slightly if rounded. repeat.",hamstrings
weighted back raise (on hyperextension apparatus),auxiliary,isolated,pull,"Stand in hyper-extension apparatus. Position thighs prone on large pad and lower leg under padded bar. Hold weight to chest or behind neck.
lower body by bending hips until fully flexed. raise or extend hips until torso is parallel to legs. repeat.",hamstrings
weighted 45° back raise (on hyperextension apparatus),auxiliary,isolated,pull,"Position thighs prone on padding of 45-degree hyper-extension apparatus. Hook heels on platform lip or under padded brace. Hold weight to chest or behind neck.
lower body by bending hips until fully flexed. raise or extend hips until torso is parallel to legs. repeat.",hamstrings
glute-ham raise (hands behind hips),basic or auxiliary,isolated,pull,"Execution
easier",hamstrings
single leg hanging hamstring bridge,basic or auxiliary,compound,pull,Stand behind bar facing elevated platform positioned slightly away on other side of bar. Grasp bar with slightly wider than shoulder width grip. Walk body under bar. Position back of heel on elevated platform. Place other foot on or just over floor so leg is bent. Hang under bar with arms straight and hips bent just above floor.raise hips up as high as possible by extending hip and spine. maintain bent position of lower leg allowing it to rise with hips. lower hips along with bent lower leg to original position and repeat. continue with legs in opposite position.,erector spinae
single leg hanging hamstring bridge curl,basic or auxiliary,compound,pull,Executionplatform should be high enough to allow hip to flex without buttocks contacting floor. full range of motion will vary from person to person.,hamstrings
hanging straight hip leg curl,basic or auxiliary,isolated,pull,Lay supine under fixed horizontal bar. Grasp bar with wide overhand grip. Straighten and raise body off of floor keeping heels on floor.pull body toward feet by bending knees while keeping hips straight. roll onto feet until knees are fully flexed. return body to original position by extending knees. repeat.,hamstrings
leg curl (on stability ball),basic or auxiliary,isolated,pull,"Lie supine on floor with lower legs on exercise ball. Extended arms out to sides. Straighten low back, knees, and hips, raising back and hips off of floor.
keeping hips and low back straight, bend knees, pulling heels toward rear end. allow feet to rollup on to ball. lower to original position by straightening knees. repeat.",hamstrings
leg curl (on power wheel),basic or auxiliary,isolated,pull,"Lie supine on floor with feet strapped onto power wheel. Extended arms out to sides. Straighten knees and hips.keeping hips and low back straight, bend knees, pulling heels toward rear end. raise up until lower legs are vertical. lower to original position by straightening knees. repeat.",hamstrings
self-assisted inverse leg curl (on floor),basic,isolated,pull,"Kneel on floor. Position ankles under fixed bar or pad and knees on thick dense pad. Kneel upright with hips straight. Extend arms out to sides with elbow pointing back and slightly bent. Position hands slightly forward with palms facing forward or slightly toward floor.
lower body with hips straight by slowly straightening knees. control descent only with hamstrings as low as possible. only when body begins to fall, touch down with tensed finger tips out to each side. once fingers make contact with floor, control remaining descent with assistance of arms. allowing chest to come very close to floor, rapidly push off against floor, again just enough to assist hamstrings in raising body upward. return to upright kneeling position and repeat.",hamstrings
suspended hanging straight hip leg curl,basic or auxiliary,isolated,pull,"Sit on floor facing suspension trainer loops in low position. Grasp bottom of loops, then lay supine. Raise legs and place heels in loops with soles contacting handles. Extend legs out and place arms on floor off to sides. Straighten low back, knees, and hips, raising back and hips off of floor.bend knees, pulling heels toward rear end while keeping hips and low back straight. raise up until lower legs are vertical or fully flexed. lower body to original position by straightening knees, maintaining straight hip position. repeat.",hamstrings
suspended hanging straight hip leg curl,basic or auxiliary,isolated,pull,Lay supine under suspension trainer and grasp handles. Straighten and raise body off of floor keeping heels on floor.pull body toward feet by bending knees while keeping hips and back straight. roll onto feet until knees are fully flexed. return body to original position by extending knees maintaining straight hip position. repeat.,hamstrings
safety barbell standing leg calf raise,basic,isolated,push,"Stand facing safety barbell on rack upper chest height and calf block on floor just below. Position toes and balls of feet on calf block with arches and heels extending off. Place hands on bar to each sides or on vertical rack bars. Position head in yoke with padded bar around shoulders. Dismount bar from rack by standing erect with safety bar, away yet close to rack.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
barbell standing leg calf raise,basic,isolated,push,"Set barbell on power rack upper chest height with calf block under barbell. Position back of shoulders under barbell with both hands to sides. Position toes and balls of feet on calf block with arches and heels extending off. Lean barbell against rack and raise from supports by extending knees and hips. Support barbell against verticals with both hands to sides.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
cable standing calf raise,basic,isolated,push,"Place cable belt or dip belt around waist. Kneel before low pulley and attach belt to cable. Stand on calf block and grasp support bar for balance. Position toes and balls of feet on calf block with arches and heels extending off.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
dumbbell standing calf raise,basic,isolated,push,"Grasp dumbbell in one hand to side. Position toes and balls of feet on calf block with arches and heels extending off. Place hand on support for balance.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
lever 45° calf press (plate loaded),basic,isolated,push,"Sit on seat with back on padded support. Place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.
push platform by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
lever 45° calf raise (plate loaded),basic,isolated,push,"Sit on machine with low back against padding and grasp handles to sides. Place feet high on platform and straighten knees. Position toes and balls of feet on lower portion of platform with arches and heels extending off.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
lever donkey calf raise (plate loaded),basic,isolated,push,"Position lower back and hips under padded lever. Place forearms on supports. Position toes and balls of feet on calf block with arches and heels extending off. Straighten knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
lever calf extension (plate loaded),basic,isolated,push,"Sit on seat and position forefeet on lever platform. Grasp handles to sides and straighten knees.
push lever by extending ankle as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
lever seated calf press (plate loaded),basic,isolated,push,"Place seat away from platform. Sit on seat with lower back against back of seat. Place toes and balls of feet on lower portion of platform(s) with heels and arches extending off. Grasp handles to sides and straighten knees.
push lever platform(s) by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
lever standing calf raise (plate loaded),basic,isolated,push,"Place shoulders under padded lever. Position toes and balls of feet on calf block with arches and heels extending off. Grasp handles or sides of padded lever. Stand erect by extending hips and knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
lever 45° calf raise,basic,isolated,push,"Sit on machine with low back against padding and grasp handles to sides. Position toes and balls of feet on lower portion of platform or foot bar with arches and heels extending off. Straighten knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
lever donkey calf raise,basic,isolated,push,"Position lower back and hips under padded lever. Place forearms on supports. Position toes and balls of feet on calf block with arches and heels extending off. Straighten knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
lever calf extension,basic,isolated,push,Sit on seat and position forefeet on horizontal foot bar. Grasp handles to sides and straighten knees.push lever by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.,gastrocnemius
lever seated calf press,basic,isolated,push,"Place seat away from platform. Sit on seat with lower back against back of seat. Place toes and balls of feet on lower portion of platform with heels and arches extending off. Grasp handles to sides and straighten knees.
push lever by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
lever standing calf raise,basic,isolated,push,"Place shoulders under padded lever. Position toes and balls of feet on calf block with arches and heels extending off. Grasp handles or sides of padded lever. Stand erect by extending hips and knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
sled 45° calf press,basic,isolated,push,"Sit on seat with back on padded support. Place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.
push sled by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
sled 45° calf raise,basic,isolated,push,"Sit on machine with lower back against padding and grasp handles to sides. Position toes and balls of feet on foot platform with arches and heels extending off. Straighten knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
sled donkey calf raise,basic,isolated,push,"Position lower back and hips under upper pad. Place forearms on supports. Position toes and balls of feet on calf block with arches and heels extending off. Straighten knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
sled hack calf press,basic,isolated,push,"Lie supine on sled with shoulders against pad and place feet on platform. Grasp handles to sides and straighten knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.
push sled up away from platform by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
sled lying calf press,basic,isolated,push,"Position sled away from platform. Lie supine on sled with shoulders against pad and place feet on platform. Grasp handles to sides and straighten knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.
push sled away from platform by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
sled seated calf press,basic,isolated,push,"Place seat away from platform. Sit on seat and place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on lower portion of platform with heels and arches extending off.
push sled by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
sled standing calf raise,basic,isolated,push,"Place shoulders under padded bars. Position toes and balls of feet on calf block with arches and heels extending off. Grasp handles or sides of padded bars. Stand erect by extending hips and knees.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
sled vertical calf press,basic,isolated,push,"Lie on back pad. Place feet on platform. Grasp handles to sides and extend hips and knees. Place toes and balls of feet on platform with heels and arches extending off.
push sled by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",gastrocnemius
smith donkey calf raise,basic,isolated,push,"Engage both safety stops mid height so bar will be just above in lowest range of motion. Place calf block under bar. Position padded surface of tall bench or Roman Chair in front of smith machine for arm rest. Place stiffly padded board within arms reach. Step on calf block while standing between smith bar and arm rest. Situate padded board on back of hips while bending under smith bar. Arrange smith bar above upper hips or lower waist with padded board in between. Place forearms on supports. Lift bar off of safety stops by straighten knees. Position toes and balls of feet on calf block with arches and heels extending off.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
smith standing leg calf raise,basic,isolated,push,"Position bar on upper chest height and place calf block under bar. Position back of shoulders under bar and grasp bar to sides. Position toes and balls of feet on calf block with arches and heels extending off. Disengage bar by rotating bar back. Stand erect by extending knees and hips.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
weighted donkey calf raise,basic,isolated,push,"Stand on edge of platform, toes and balls of feet on calf block with arches and heels extending off. Bend over and grasp knee high bar (as shown) or place forearms on thigh high surface (see example). Allow training partner to mount hips or lower back from bench.raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
weighted single leg calf raise,basic or auxiliary,isolated,push,"Hang weight from dip belt around waist. Position toes and ball of foot on calf block end of platform with heel and arch extending off. Place hand or hands on support for balance. Lift other leg to rear by bending knee.
raise heel by extending ankle as high as possible. lower heel by bending ankle until calf is stretched. repeat. continue with opposite leg.",gastrocnemius
standing calf raise,basic,isolated,push,"Position toes and balls of feet on calf block with arches and heels extending off. Place hand on support for balance.
raise heels by extending ankles as high as possible. lower heels by bending ankles until calves are stretched. repeat.",gastrocnemius
single leg forward angled calf raise,basic or auxiliary,isolated,push,"Stand facing mid-thigh to hip high vertical bar. Grasp bar with wide overhand grip. Step back so body is angled forward with body straight and arms extended approximately perpendicular to body. Feet should be pointed forward. Lift one leg to rear by bending knee.
raise heel by extending ankle as high as possible. allow body to travel forward and upward in same direction as body is orientated. lower heel allowing foot to come back down flat on floor. repeat. continue with opposite leg.",gastrocnemius
self-assisted leg calf raise,basic or auxiliary,isolated,push,"Position toes and balls of feet on calf block with heels and arches extending off. Place hands on support for assistance. Lift one leg to rear by bending knee.
raise heel by extending ankle as high as possible, assisting with upper body as little as possible. lower heel by bending ankle until calf is stretched. repeat. continue with opposite leg.",gastrocnemius
safety bar seated calf raise,auxiliary,isolated,push,"Place safety bar on rack approximately lower leg height with calf block slightly rear of safety bar. Sit on bench facing safety bar and place toes on lower portion of platform with heels extending off. Scoot forward to edge of bench and position lower thighs under safety bar. Grasp bar to sides and lift bar from rack by pushing heels up. Slide back to center of bench.
lower heels by bending ankles until calves are stretched. raise heels by extending ankles as high as possible. repeat.",soleus
lever seated calf raise (plate loaded),auxiliary,isolated,push,"Sit on seat facing lever. Place forefeet on platform with heels extending off. Position lower thighs under lever pads. Grasp handles if available or place hands on lever pad. Lift lever slightly by pushing heels up. Release support lever.
lower heels by bending ankles until calves are stretched. raise heels by extending ankles as high as possible. repeat.",soleus
lever seated calf extension,auxiliary,isolated,push,"With leg pads in upper position, sit on seat and place feet on lever platform with legs under pads. Lower leg pads on legs so they are snuggly adjusted just behind knees. Place hands on top of thigh pads.push lever platform down by extending ankles as far as possible. return by bending ankles until calves are stretched. repeat.",soleus
smith seated calf raise,auxiliary,isolated,push,"Position bar slightly higher than lower leg height. Wrap bar pad around center of bar. Place calf block under bar and bench near bar. Sit on bench facing bar and place toes on lower portion of platform with heels extending off. Grasp bar to sides and extend ankles to raise knees so lower thighs are under padded bar. Push heels further up. Disengage bar by rotating bar back.
lower heels by bending ankles until calves are stretched. raise heels by extending ankles as high as possible. repeat.",soleus
barbell reverse calf raise,basic or auxiliary,isolated,pull,"Place barbell on power rack upper chest height and calf block under barbell. Position back of shoulders under barbell with both hands to sides. Position heels on forward edge of calf block. Lean barbell against rack and raise from supports by extending knees and hips. Support barbell against verticals with both hands to sides.
pull forefoot of both feet up toward body as far as possible. return by extending feet until toes are pointed downward. repeat.",tibialis anterior
safety bar reverse calf raise,basic or auxiliary,isolated,pull,"Standing facing safety barbell on rack upper chest height and calf block on floor just below. Position heels on forward edge of calf block. Place hands on bar to each sides or on vertical rack bars. Position head in yoke with padded bar around shoulders. Dismount bar from rack by standing erect with safety bar, away yet close to rack.
pull forefeet up toward body as far as possible. return by extending feet until toes are pointed downward. repeat.",tibialis anterior
cable reverse calf raise,basic or auxiliary,isolated,pull,"Place cable belt or dip belt around waist. Kneel before low pulley and attach it to cable. Stand and position heels on forward edge of platform. Grasp support bar for balance.
pull forefeet up toward body as far as possible. return by extending feet until toes are pointed downward. repeat.",tibialis anterior
dumbbell reverse calf raise,basic or auxiliary,isolated,pull,"Grasp dumbbell in one hand to side. Position heels on forward edge of platform. Grasp support with other hand for balance.
pull forefoot of both feet up toward body as far as possible. return by extending feet until toes are pointed downward. repeat.",tibialis anterior
